"query","product_id","product_locale","product_title","product_description","product_bullet_point","product_brand","product_color"
" revent 80 cfm","B00MARNO5Y","us","Aero Pure AP80RVLW Super Quiet 80 CFM Recessed Fan/Light Bathroom Ventilation Fan with White Trim Ring","","Super quiet 80CFM energy efficient fan virtually disappears into the ceiling leaving only a recessed light in view
May be installed over shower when wired to a GFCI breaker and used with a PAR30L 75W (max) CFL
Bulb not included. Accepts any of the following bulbs: 75W Max. PAR30, 14W Max. BR30 LED, or 75W Max. PAR30L (for use over tub/shower.)","Aero Pure","White"
" revent 80 cfm","B003O0MNGC","us","Delta BreezSignature VFB25ACH 80 CFM Exhaust Bath Fan with Humidity Sensor","","Virtually silent at less than 0.3 sones
Precision engineered with DC brushless motor for extended reliability
Easily switch in and out of humidity sensing mode by toggling wall switch
ENERGY STAR qualified for efficient cost-saving operation
Precision engineered with DC brushless motor for extended reliability, this fan will outlast many household appliances","DELTA ELECTRONICS (AMERICAS) LTD.","White"
" revent 80 cfm","B001E6DMKY","us","Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM","","HIGH-QUALITY FAN: Very quiet, energy efficient exhaust fan runs on 0. 3 Sones and is motor engineered for continuous operation
EFFICIENT: Operates at 80 CFM in bathrooms up to 75 sq. ft. for a high-quality performance. Dimmable Capability: Non Dimmable
EASY INSTALLATION: Fan is easy to install and/or replace existing product for DIY'ers and needs only 2"" x 8"" construction space. Can be used over bathtubs or showers when connected to a GFCI protected branch circuit
FEATURES: Includes hanger bar system for fast, flexible installation for all types of construction and a 6"" ducting for superior performance
CERTIFIED: ENERGY STAR qualified and HVI Certified to ensure the best quality for your home","Broan-NuTone","White"
" revent 80 cfm","B01N5Y6002","us","Delta Electronics (Americas) Ltd. GBR80HLED Delta BreezGreenBuilder Series 80 CFM Fan/Dimmable H, LED Light, Dual Speed & Humidity Sensor","","Ultra energy-efficient LED module (11-watt equivalent to 60-watt incandescent light) included. Main light output-850 Lumens, 3000K
Extracts air at a rate of 80 CFM to properly ventilate bathrooms up to 80 sq. Ft., quiet operation at 0.8 sones
Precision engineered with DC brushless motor for extended reliability, this Fan will outlast many household appliances
Energy Star qualified for efficient cost-saving operation, galvanized steel construction resists corrosion
Fan impeller Stops If obstructed, for safe worry-free operation, attractive grille gives your bathroom a fresh look","DELTA ELECTRONICS (AMERICAS) LTD.","With LED Light, Dual Speed & Humidity Sensor"
"!awnmower tires without rims","B08L3B9B9P","us","MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, (3"" Centered Hub, 3/4"" Bushings )","MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, 3"" Centered Hub, 3/4"" Bearings<br>","Please check your existing tire Sidewall for tire, hub and Bushing size to ensure proper replacement fit.
3"" Centered Hub(two sides symmetrical);3/4"" Bushings;300 lb load capacity.
Tire size:13x5.00-6;Tire Type:Pneumatic Tires;Tire Diameter inch:13.09"";Tire Width inch:4.56"";Load Capacity:300lbs
Rim Diameter:6"";Bearing size:3/4"";Hub Length:3"" Centered Hub with grease fitting
Popular Applications：Wheelbarrows,Garden carts,Hand trucks,Pressure washers,Generators,Air compressors,Lawn mower and other types of outdoor power equipment.","MaxAuto",""
"!awnmower tires without rims","B07C1WZG12","us","(Set of 2) 15x6.00-6 Husqvarna/Poulan Tire Wheel Assy .75"" Bearing","No fuss. Just take off your old assembly and replace with this. No need for tubes or tire shops. No messing around with mounting these yourself. Perfect replacement for your machine. Will make your machine look and feel new. **** .75 precision ball bearings ****.","Tire size:15x6.00-6 Ply: 4 Tubeless
6x4.5 Wheel with 3/4"" Precision bearings; Hub is 3"" Long with .75"" precision ball bearings. No grease required. Color: Husqvarna Silver
Husqvarna wheel number: 532106732 replaces 106732x645, 106732x643, 106732x417, 532141446, 532138336, 5321383-36 532125102; Husqvarna tire number 5321122073
ATW-001
Tire OD: 14.96; Tire SW: 6.3; PSI: 30; Max Load: 570 lbs.","Antego Tire & Wheel","Husqvarna Silver"
"!awnmower tires without rims","B077QMNXTS","us","MaxAuto 2 Pcs 16x6.50-8 Lawn Mower Tire for Garden Tractors Ridings, 4PR, Tubeless","<br>Tire Specifications:<br> 1. Material: Rubber<br> 2. Tire Size: 16X6.50-8<br> 3. Load Range: Max. 620lbs@28psi<br> 4. Tire Type: Tubeless<br> 5. Rim Width: 5.375""<br> 6. SW: 165mm / 6.50""<br> 7. OD: 410mm / 16.14""<br> 8. Rating: 4 PLY<br> 9. Tread Depth: 7.1mm/ 0.28""<br> 10. Pattern: P332<br> <br>Feature:<br> 1. Tires ONLY, rims not included<br> 2. Easy to install and easy to use<br> 3. Act as a spare or replacement of the broken one<br> 4. A perfect combination of premium rubber material and sophisticated workmanship<br> 5. Turf Tech tread is made to give you better traction on grassy surfaces, especially on hills where the potential for slippage exists, without causing harm to the turf itself.<br> 6. This tire is a popular replacement for many kind of lawn mower tires, riding lawn mower tires, lawn tractor tires, garden tractor tires, garden tractor pulling tires, and more.<br><br>Package Includes:<br> 2 x Lawn & Garden Tires","Set of 2 16X6.50-8, 16x6.50x8, 16-6.50-8 Lawn Garden Mower Tractor Tire
Type: Tubeless; 4 Ply; Tire only - Wheel not included
Turf Tech tread is made to give you better traction on grassy surfaces, especially on hills where the potential for slippage exists, without causing harm to the turf itself.
This tire is a popular replacement for many kind of lawn mower tires, riding lawn mower tires, lawn tractor tires, garden tractor tires, garden tractor pulling tires, and more.
Prior to purchase, please check the size of the original tire on your vehicle to ensure the size of the tire to be purchased is correct.","MaxAuto","Black"
"!awnmower tires without rims","B06XX6BM2R","us","MARASTAR 21446-2PK 15x6.00-6"" Front Tire Assembly Replacement-Craftsman Mower, Pack of 2","","Tire: 2 pack 15x6. 00-6 tube-type turf SAVER tread - pneumatic 4 Ply rating
Wheels: Solid dark gray steel, 3"" Centered hub, 3/4"" Sintered iron bushings
Load capacity/speed: 400 lbs. / not for highway speeds
Use: replacement for Craftsman riding mowers with front tire size 15x6. 00-6
Low hassle, low cost solution to repairing or replacing your Craftsman riding Mower tires","MARASTAR",""
"!awnmower tires without rims","B0089RNSNM","us","Honda 42710-VE2-M02ZE (Replaces 42710-VE2-M01ZE) Lawn Mower Rear Wheel Set of 2","Honda 42710-VE2-M02ZE (Replaces 42710-VE2-M01ZE AND 42710-VG3-B00) Lawn Mower Rear Wheel Set of 2","Set of 2 Honda OEM Rear Wheels
Replaces 42710-VE2-M01ZE and 42710-VG3-B00
8 inch in diameter
Fits: HRB216 HXA, HRB216 HXAA, HRB216 TDA, HRB216 TDAA, HRB216 TXA, HRB216 TXAA, HRB217 HXA, HRB217 TDA, HRR216 S3DA, HRR216 SDA, HRR216K2 SDAA, HRR216K2 TDAA, HRR216K2 TKAA, HRR216K3 TDA, HRR216K4 TDA, HRS216 SDA, HRS216K1 SDA, HRS216K1 SDAA, HRS216K2 SDAA, HRS216K3 SDAA, HRT216 S3DA, HRT216 SDA, HRT216K1 S3DA, HRT216K1 S3DA-A, HRT216K1 SDA, HRT216K1 SDA-A, HRT216K1 SDAA, HRT216K1 SDAA-A, HRT216K1 TDAA, HRT216K1 TDAA-A, HRT216K2 TDAA, HRZ216 TDAA
Genuine OEM Honda Part","Honda",""
"!awnmower tires without rims","B005O5Y3QI","us","Carlisle Turf Saver Lawn & Garden Tire - 15X6-6 A","","Fit Type: Vehicle Specific
Enhanced durability with its broad-shouldered, puncture resistant construction","Carlisle Paddles",""
"!awnmower tires without rims","B0018TWDOI","us","Oregon 72-107 Universal Wheel 7X150 Diamond Plastic","","7 x 1.50""
ID 1/2-Inch
Hub Is Offset Plastic
Hub Length Is 1 3/8-Inch
Tread Design: Diamond","Oregon","⭐️ Exclusive"
"!qscreen fence without holes","B07DHX8YH2","us","Zippity Outdoor Products ZP19026 Lightweight Portable Vinyl Picket Fence Kit w/Metal Base(42"" H x 92"" W), White","","Designed as a portable fence for temporary events
Rust-free metal bases are included; bases have small holes if you need to screw the base into wood or concrete (fence will stand on its own without screws)
This fence should not be used for serious crowd control or child or pet safety; it is designed to be used as a psychological or aesthetic barrier and not a physical one
Each panel includes a connector piece to attach to an adjacent panel in a straight line or at a right angle; this makes this fence fully scalable to add as many panels as you need for your event
Assembly required. Top Shape-Flat","Zippity Outdoor Products","White"
"!qscreen fence without holes","B07MFP4PPQ","us","Sunnyglade 6 feet x 50 feet Privacy Screen Fence Heavy Duty Fencing Mesh Shade Net Cover for Wall Garden Yard Backyard (6 ft X 50 ft, Green)","","Privacy Solution: Most economical way for privacy over chain link fence, porous decorative concealment, existing cyclone wire fence, wood retaining wall, welded wire fence, chain link fence, privacy barrier around swimming pool, block nose neighbor see through, add privacy to acre back yard backdrop, front yard, patio, garden and porch; hide street, road, construction site, pet kennel pen, block surrounding noise and street view, stops dogs from barking at neighbors.
High quality material: privacy fence screen is constructed of sun protected HDPE fabric with durable brass grommets on each side. The fence privacy screen measures exactly 6' x 50’.
Multifunction: There are lots of different ways to use, protection for vegetable garden plants, greenhouse covering, wind blocking for plant nursery area, window shades, tennis court, shades for pet pen / kennel, construction site, etc. Breathable weaving fabric allows water and air to go through freely, resistant to both sun and water, no maintenance needed.
More intensive grommets: Grommets are made of copper, more grommets are placed evenly along all edges, 11.8 inches apart vertically, 18.9 inches horizontally. All edges are covered with black reinforced 1.3"" binding. The grommets and bindings help the screen to hold up in the wind.
Easy to install: Use zip ties to fasten the grommets to the fence in each side. Our fence screen is equipped with denser grommets and 80 straps to keep the fence closer to your fence.","Sunnyglade","Green"
"!qscreen fence without holes","B07R3TNQDM","us","Amgo 6' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)","<p><strong>Package Included:</strong></p> <p>1 - 6 x 50 fence privacy screen.</p> <p>1 - 80 pcs cable zip ties.</p> <p> </p> <p><strong>Specifications</strong></p> <p>★ Size: 6' x 50'</p> <p>★ Color: Black</p> <p>★ Fabric Material: High-density polyethylene, 0% recycled material, water & air permeable</p> <p>★ Blockage: 90%</p> <p>★ Finish: Black bindings & grommets all around, 1ft apart vertically, 2ft apart horizontally.</p> <p>★ Warranty: 3 years full warranty.</p> <p> </p> <p><strong>Why Choose Our Product?</strong></p> <p>✔ Quality</p> <p>✔ Price</p> <p>✔ Warranty</p> <p>✔ Hassle-free customer service and return</p>","Fence privacy screen fits perfectly on 6 ft fence, actual height is 5' 9"", cable zip ties are included for installation.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
90% blockage, great for privacy and allows water and airflow to pass through at the meantime, fabric is made of knitted virgin HDPE material.
Custom sizes are available, select size from drop-down or contact us for other colors & sizes, we are the manufacturer who is focusing on making quality and durable fence screen at low price.
3 years limited warranty under normal usage and weather.","Amgo","Black"
"!qscreen fence without holes","B07R6P8TK8","us","Amgo 4' x 50' Black Fence Privacy Screen Windscreen,with Bindings & Grommets, Heavy Duty for Commercial and Residential, 90% Blockage, Cable Zip Ties Included, (Available for Custom Sizes)","<p><strong>Package Included:</strong></p> <p>1 - 4' x 50' fence privacy screen.</p> <p>1 - 80 pcs cable zip ties.</p> <p> </p> <p><strong>Specifications</strong></p> <p>★ Size: 4' x 50'</p> <p>★ Color: Black</p> <p>★ Fabric Material: High-density polyethylene, 0% recycled material, water & air permeable</p> <p>★ Blockage: 90%</p> <p>★ Finish: Black bindings & grommets all around, 1ft apart vertically, 2ft apart horizontally.</p> <p>★ Warranty: 3 years full warranty.</p> <p> </p> <p><strong>Why Choose Our Product?</strong></p> <p>✔ Quality</p> <p>✔ Price</p> <p>✔ Warranty</p> <p>✔ Hassle-free customer service and return</p>","Fence privacy screen fits perfectly on 4 ft fence, actual height is 3' 9"", cable zip ties are included for installation.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
Edges are finished with heavy duty black bindings and stainless copper grommets, all stitching are reinforced, grommets are placed every 1 ft vertically, 2 ft horizontally, each corner has 4 grommets, easy to install with included cable zip ties.
Custom sizes are available, select size from drop-down or contact us for other colors & sizes, we are the manufacturer who is focusing on making quality and durable fence screen at low price.
3 years limited warranty under normal usage and weather.","Amgo","Black"
"!qscreen fence without holes","B08NG85RHL","us","Orgrimmar Green 6’x50’ Fence Privacy Screen Heavy Duty Garden Fence Mesh Shade Net Cover for Outdoor Wall Porch Patio Backyard Balcony","<br>Privacy fence screen measures 5.9‘ tall x 50' long, perfect fit for a fence that’s 6ft tall. Breathable fabric allows breeze to go through, made of UV & water resistant heavy duty HDPE (High-density polyethylene), made to last under sun exposure and all weather condition. 90% blockage gives you the privacy you deserve, not completely block out but the right amount of privacy and blockage, keep the dogs from barking. Ideal for condo apartment balconies, backyards patio, gathering areas, swimming pool, or anywhere you need a bit of privacy. <br><br><b>Specification:</b> <br>Material: HDPE+Brass <br>Color: Green <br>Size(L x W): About 6’x50” <br><b>Package included:</b> <br>Garden fence privacy screen*1 <br>Straps*80 <br><b>Note:</b> <br>1.Due to the light and screen difference, the item's color may be slightly different from the pictures. <br>2.Please allow 0.5-2cm differences due to manual measurement.","PREMIUM QUALITY: This heavy duty privacy screen is constructed of HDPE fabric and brass grommets finished with reinforced black bindings. Product measures 6 x 50 ft(HxL) , perfect fits for 6 ft tall fence. The zip ties are included.
BRASS GROMMETS: Each hole of our fence covering is reinforced with brass grommets. The grommets run along the entire perimeter of the screen and are evenly spaced to ensure strength. The holes are spaced 11.8 inches apart vertically, 18.9 inches horizontally.
PRIVACY SOLUTION: Garden fence mesh allows water and airflow to pass through but not opaque. If you wanted these to be thick enough to block the view almost completely you could buy a 2nd one and stack them for use.
EASY TO INSTALL: Grommets are generously distributed so the screen can fasten securely to established fencing. Best to extend the screen as much as possible when adding the zip ties to get it to fit perfectly to the fence.
MULTI-FUNCTION: The fence privacy screen can be applied in backyard, patio, greenhouse, swimming pool, tennis court, pet kennel, chicken run, construction site etc. Block surrounding nosy neighbor and street view, stops dogs from barking at passersby.","Orgrimmar","Green"
"!qscreen fence without holes","B01EYHHO2G","us","Zippity Outdoor Products ZP19014 Premium Vinyl Privacy Screen, 48""W x 48""H (Unassembled), White","","Privacy screen is completely solid for maximum privacy
Not only will this screen hide your unmentionables, but it will also add curb appeal to your home
Crafted with premium PVC vinyl, this privacy screen looks the same from both sides
To install, simply drive the included stakes into the ground using a sledge hammer
Set includes 2 sections to make a right angle. Not recommended for side by side installation unless you use concrete to cement into the ground","Enclo Privacy Screens","White"
"!qscreen fence without holes","B077Z8Z8D8","us","DAP INC 18741 Platinum 16OZ Patch Filler, 16.0 Fl Oz, White","","16-ounce Package
Use on metal, composite, PVC, fiber cement, wood, and more
Easy to apply, sandable, and paintable
Exceptional weatherproofing and UV protection","DAP","White"
"!qscreen fence without holes","B0019Y6TTC","us","Garden Creations JB4710 Extendable Instant Fence","","EXPANDABLE FLEXI-SCREEN stretch your fence to the width compatable with your home
ESTHETIC DESIGN easily place your fence inside or outdoors, wood finish is a perfect match for interior home designs as well as porch finishes
PLANT DIVIDER perfect for flowerbeds, easily separate your plants while maintaining visual garden appeal
PORTABLE light weight design, easy to move from room to room
DURABLE fence stands on two wooden platforms, no digging or support needed","Creation's Garden Natural Products, Inc","Brown"
"!qscreen fence without holes","B001OJXVKW","us","Windscreen4less Heavy Duty Privacy Screen Fence in Color Solid Black 6' x 50' Brass Grommets 150 GSM - Customized","","Product measures exactly 50' long x 5'8"" tall, perfect fit for a fence that’s 6 ft tall.
Constructed of new high density material- polyethylene, allows maximum air to go through.
Prevents harmful UV sun lights from damaging for up to 90%, and fabric has a 2.5” enforced binding, so it’s able to hold up even in extreme weather condition.
2 grommets on each side of fabric to ensure strength, and it’s easy to install.
Has a 3 Year Limited Warranty under normal usage and weather.","Windscreen4less","Black"
"!qscreen fence without holes","B018JYCD80","us","Zippity Outdoor Products ZP19001 No Dig Madison Vinyl Picket Fence, White, 30"" x 56"" (1 Box, 2 Panels), 1 x Pack of 2","","This fence is designed for semi-permanent residential applications that are not subject to intense wear and tear. Package comes with 2 units for a total of 113in of fence
Assembles and installs with relative ease- no digging required! Simply insert pointed stakes into the ground
Perfect to contain small pets or small children; Not recommended for large dogs
Made with weather resistant vinyl with a 10 year warranty. Won't crack, warp, yellow, splinter, or rot. No painting, staining or maintaining required!
Search ""ZP19028"" for compatible gate option to pair with this fence","Zippity Outdoor Products","White"
"!solid camiseta sin manga","B08TQH4RBB","es","Tuc Tuc Punto Tropicool Camiseta sin Mangas para bebés y niños pequeños, Blanco, 4A","","CAMISETA PUNTO TROPICOOL","Tuc Tuc","Blanco"
"!solid camiseta sin manga","B08H2H18DN","es","Esprit Maternity T-Shirt Nursing SL Camiseta, Gris mediano-035, M para Mujer","","Bonita camiseta con una capa asimétrica que cae por encima del abdomen
Práctico: también adecuado para la lactancia materna
Fabricado con Ecovero, viscosa producida de manera sostenible","Esprit Maternity","Gris Mediano - 035"
"!solid camiseta sin manga","B08HJQJT2T","es","Aloha playas de Hawai Hawaii gafas de sol divertidas piña Camiseta sin Mangas","","Gafas de sol de piña Aloha Beaches Beach Hawaii-Hawaii Vintage Gifts. Retro 70s 80s Islas tropicales del estado de Aloha para surfistas, novia y novio aloha, Honolulu, boda en las playas del estado de Hawaii Viernes Aloha, Hula, Tiki, Fiesta Luau.
Diseño gráfico para hombres, mujeres, niños, chicos, chicas, novia, novio, mamá, papá, abuela, abuelo, comprometido, surfista, moderno, tropical hawaiano, hipster, cosas de piña en vacaciones de verano o cumpleaños.
Ligero, Encaje clasico, manga de doble puntada y bastilla baja","Funny Beach Tees","Blue"
"!solid camiseta sin manga","B08NDS1HS2","es","Zereesa Camiseta sin Mangas de Punto con Cuello en V para Mujer Chaleco de Punto sin Mangas Camiseta sin Mangas de Punto Informal de Color sólido Chaleco de Punto Informal Chaleco de Trabajo S-XXL","","Cárdigan de punto para mujer, estilo jersey clásico, estilo boho moderno, look super trendy. Suéter corto de punto estilo streetwear vintage de muy buen gusto. La tela suave y liviana es cómoda de usar.
Chaleco de punto sin mangas con cuello en V, ajuste regular / ajuste regular, parte superior de suéter de ajuste relajado, cuello y dobladillo acanalados, cómodo y transpirable. Minifalda de mujer, jersey de cuello cascada, buen pespunte y elegantes detalles.
Compañero de moda para cada atuendo. Ideal para combinar este jersey con blusa, camisa, chaqueta, jeans, shorts, faldas, botas y leggings para tu look diario. El suéter de punto de gran tamaño tiene un estilo hinchado de gran tamaño, adecuado para mujeres de todas las edades. Cita única.
El suéter de punto casual es adecuado para mujeres en primavera, otoño e invierno. La camiseta de tirantes de mujer de todos los partidos es cómoda y cálida y crea un ambiente acogedor esta temporada.
Suéter de punto súper lindo, ropa casual para el hogar, compras, vacaciones, moda callejera, citas, trabajo, fiesta, escuela / universidad, toma de fotografías, uso diario. Camiseta de tirantes casual para mujer.","Zereesa","Negro"
"!solid camiseta sin manga","B08TR31689","es","Tuc Tuc Punto KAMOGAWA Camiseta sin Mangas para bebés y niños pequeños, Blanco, 2A","","CAMISETA PUNTO KAMOGAWA","Tuc Tuc","Blanco"
